tag,text
DEFINITION,"to go to sleep for a short time, especially when you are not in bed and without intending to"
EXAMPLE,I dozed off in front of the television.
HEADWORD,draft in
DEFINITION,to bring someone into a team or group of people in order to help them do something
EXAMPLE,Extra police officers have been drafted in. 
HEADWORD,drag away
DEFINITION,"to make someone leave a place when they would prefer to stay, or stop doing something when they would prefer to continue to do it"
EXAMPLE,"If you could drag yourself away from that computer for a second, I could do with some help here!"
HEADWORD,drag down
DEFINITION,"to make someone have a lower social position or worse standards of behaviour, so that other people lose respect for them"
EXAMPLE,If you're not careful he'll end up dragging you down with him. 
HEADWORD,drag in
DEFINITION,to start talking about someone or something that is not connected with what you are discussing and that other people do not want to talk about
EXAMPLE,He seemed determined to drag in irrelevant details about my personal life. 
HEADWORD,drag off
DEFINITION,"to make someone leave a place, especially when they do not want to"
EXAMPLE,His girlfriend turned up and dragged him off somewhere.
HEADWORD,drag on
DEFINITION,to continue for longer than you want or think is necessary
EXAMPLE,"This affair does seem to have dragged on, doesn't it? "
HEADWORD,drag out
DEFINITION,to make something continue for longer than necessary
EXAMPLE,They dragged out the meeting endlessly.
HEADWORD,drag out of
DEFINITION,to force or persuade someone to tell you something when they do not want to
EXAMPLE,"He only told me her name, and I had to drag that out of him."
HEADWORD,drag up
DEFINITION,"to start talking about something when it is not necessary, usually something unpleasant that happened in the past and that other people want to forget"
EXAMPLE,Must you drag up that old argument?
HEADWORD,dragoon into
DEFINITION,"to make someone do something that they do not want to do, often in a way that seems unfair to them"
EXAMPLE,She spent most of her time trying to dragoon the village women into attending philosophical lectures. 
HEADWORD,drain off
DEFINITION,"to flow away from something, or let liquid flow away"
EXAMPLE,Allow the liquid from the can to drain off before cooking the beans. 
HEADWORD,draw away
DEFINITION,to move away from a person or place
EXAMPLE,People started waving as the train drew away. 
HEADWORD,draw back
DEFINITION,to move backwards and away from someone or something
EXAMPLE,She drew back in horror. 
HEADWORD,draw down
DEFINITION,to reduce an amount of money by using it
EXAMPLE,Some firms have dealt with the problem by drawing down their cash reserves.
HEADWORD,draw from
DEFINITION,"to get ideas, information, or knowledge from something"
EXAMPLE,She drew inspiration for her stories from her childhood. 
HEADWORD,draw off
DEFINITION,to take some of the liquid out of something
EXAMPLE,Doctors drew off over a litre of fluid from his lungs.
HEADWORD,draw on
DEFINITION,to use part of something that you have gradually gained or saved
EXAMPLE,"As an actor, you often draw on your own life experiences. "
HEADWORD,draw out
DEFINITION,to make something continue longer than usual
EXAMPLE,This action could draw the dispute out for another six months. 
HEADWORD,draw up
DEFINITION,to prepare and write something such as a document or plan
EXAMPLE,Can you draw the contract up by tomorrow? 
HEADWORD,dream away
DEFINITION,to spend your time thinking pleasant thoughts but not really achieving anything
EXAMPLE,I don't concentrate properly in class. I just dream away the time. 
HEADWORD,dream of
DEFINITION,"to think about something that you would very much like to do, have, or achieve"
EXAMPLE,They have wealth that ordinary people could only dream of. 
HEADWORD,dream on
DEFINITION,used for telling someone that you think there is no chance that something that they have just mentioned will happen
EXAMPLE,"If you think she's going to agree to that, dream on!"
HEADWORD,dream up
DEFINITION,"to think of a new idea or plan, especially one that is silly or unusual"
EXAMPLE,Whoever dreamt up that idea? 
HEADWORD,dredge up
DEFINITION,to tell people about something that someone did in the past that they would prefer to keep secret
EXAMPLE,Details of his previous affairs were dredged up by the media. 
HEADWORD,dress down
DEFINITION,to wear clothes that are less formal than the clothes that you usually wear
EXAMPLE,It's not the kind of place where you can dress down for work. 
HEADWORD,dress for
DEFINITION,to put on clothes that are suitable for a particular occasion or situation
EXAMPLE,We hadn't thought to dress for such cold weather. 
HEADWORD,dress up
DEFINITION,"to put on special clothes that make you look like someone else, especially for fun"
EXAMPLE,All children love dressing up. 
HEADWORD,drift off
DEFINITION,to gradually go to sleep
EXAMPLE,I was just drifting off when the door slammed.
HEADWORD,drill in
DEFINITION,to teach someone something by making them repeat it a lot of times until they know it thoroughly
EXAMPLE,She spent the rest of the afternoon drilling us in the new safety procedures. 
HEADWORD,drill into
DEFINITION,to make someone learn or understand something by telling them about it many times
EXAMPLE,Not to talk to strangers is something that is drilled into children from an early age. 
HEADWORD,drink down
DEFINITION,"to drink all of something, especially quickly"
EXAMPLE,She made a face but drank the medicine down. 
HEADWORD,drink in
DEFINITION,to experience something with great enjoyment
EXAMPLE,Sit out on the terrace and drink in the stunning view.
HEADWORD,drink to
DEFINITION,"to wish for health, happiness, or success for someone or something, and then lift your glass and drink from it"
EXAMPLE,Then we all drank to John and wished him luck on his expedition. 
HEADWORD,drink up
DEFINITION,to drink all of your drink
EXAMPLE,"Drink up, everyone: it's time to go. "
HEADWORD,drive away
DEFINITION,to make someone stop wanting something or stop wanting to be with someone
EXAMPLE,Peter's behaviour was driving his wife away. 
HEADWORD,drive down
DEFINITION,to make a price or amount fall to a lower level
EXAMPLE,Fierce competition among restaurants has driven down prices. 
HEADWORD,drive on
DEFINITION,to continue driving
EXAMPLE,"When I give you the instruction, I want you to drive on. "
HEADWORD,drive out
DEFINITION,to force someone or something to leave a place
EXAMPLE,They were driven out of their homes. 
HEADWORD,drive to
DEFINITION,"to force someone into a bad state, or into behaviour that is dangerous or harmful"
EXAMPLE,People are being driven to violence by police action. 
HEADWORD,drivel on
DEFINITION,to talk for a long time about stupid or unimportant things
EXAMPLE,I knew he would drivel on for another twenty minutes. 
HEADWORD,drone on
DEFINITION,to talk about something for a long time in a very boring way and in a very boring voice
EXAMPLE,I wish he'd stop droning on. 
HEADWORD,drool over
DEFINITION,to look at someone or something in a foolish way that shows you desire them very much or find them very attractive
EXAMPLE,The boys were all drooling over her.
HEADWORD,drop away
DEFINITION,to become smaller in amount or number
EXAMPLE,Support for him has begun to drop away. 
HEADWORD,drop back
DEFINITION,to fall to a lower amount or value
EXAMPLE,Inflation dropped back a little last year. 
HEADWORD,drop by
DEFINITION,to make a short visit somewhere
EXAMPLE,I'll drop by and see you on my way home. 
HEADWORD,drop in
DEFINITION,"to make a short visit somewhere, usually without making a formal arrangement in advance"
EXAMPLE,I dropped in to see how he was. 
HEADWORD,drop off
DEFINITION,"to take someone to a place in a car, usually without getting out of the car yourself"
EXAMPLE,Can you drop the kids off at school this morning? 
HEADWORD,drop out
DEFINITION,to leave college or university before you have finished your course
EXAMPLE,She dropped out after the first term. 
HEADWORD,drop round
DEFINITION,"to make a short visit to someone who lives near you, often without arranging it formally in advance"
EXAMPLE,The children drop round to see her occasionally.
HEADWORD,drown in
DEFINITION,"to cover something completely in a liquid, especially in a way that spoils it"
EXAMPLE,If you cook potatoes properly you don't have to drown them in butter.
HEADWORD,drown out
DEFINITION,to prevent a sound from being heard by making a louder noise
EXAMPLE,The music almost drowned out the sound of his voice. 
HEADWORD,drug up
DEFINITION,to give someone a lot of drugs or medicine with the result that they cannot behave normally
EXAMPLE,Everyone in the hospital seemed to have been drugged up. 
HEADWORD,drum into
DEFINITION,to make someone learn or understand something by repeating it many times
